"reviewer$gpa","reviewer$academic_major","reviewer$age_range","reviewer$location","reviewer$gender","reviewer$signin_count","reviewer$user_id","review$avg_score","review$score1","review$score2","review$score3","review$score4","review$score5","reviewee$team_id","reviewee$team_size"
"3.5-4.00","Science","over 50","Italy","Male",95,30064,5,5,4,5,8,3,5069,4
"3-3.49","Science","26-30","Australia","Male",64,1771,6.4,7,8,6,6,5,5250,3
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,4.4,7,5,7,2,1,5226,1
"Does not apply","Business","36-40","Spain","Male",120,22862,4.2,7,4,5,3,2,5288,2
"Does not apply","Business","41-45","Spain","Male",14,18839,4.8,7,4,4,5,4,5215,4
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,4.6,6,5,6,5,1,5363,1
"NULL","NULL","NULL","France","NULL",18,35897,6,6,8,8,7,1,5470,17
"Does not apply","Business","41-45","Spain","Male",14,18839,4.8,6,5,4,4,5,5693,7
"Does not apply","Engineering","31-35","Spain","Male",96,8444,7.2,9,7,8,7,5,5906,9
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,5.4,7,6,6,5,3,5151,2
"Does not apply","Engineering","31-35","Spain","Male",96,8444,4.6,5,4,6,5,3,5069,4
"3.5-4.00","Engineering","41-45","United States","Male",104,17120,5,5,6,6,5,3,5069,4
"NULL","NULL","NULL","France","NULL",18,35897,6.6,6,9,8,6,4,5363,1
"Does not apply","Engineering","31-35","Spain","Male",96,8444,4,3,7,6,2,2,5215,4
"3.5-4.00","Engineering","41-45","United States","Male",35,23915,7,9,9,7,5,5,5536,4
"Does not apply","Business","41-45","Spain","Male",14,18839,3.4,4,4,3,4,2,5424,1
"NULL","NULL","NULL","France","NULL",18,35897,5,5,9,5,5,1,5360,3
"3.5-4.00","Business","36-40","Italy","Male",588,3417,4.4,6,5,4,4,3,5363,1
"Does not apply","Other","26-30","Spain","Female",79,24834,3.2,1,7,5,2,1,5069,4
"Does not apply","Other","26-30","Spain","Female",79,24834,4.2,9,5,4,2,1,5693,7
"Does not apply","Other","26-30","Spain","Female",79,24834,3,2,5,4,3,1,5215,4
"3.5-4.00","Science","36-40","Greece","Male",125,27386,4.4,4,7,6,4,1,5993,2
"Does not apply","Other","26-30","Spain","Female",79,24834,1.6,2,2,2,1,1,5150,4
"NULL","NULL","NULL","United States","NULL",391,34624,4.2,6,2,7,5,1,5993,2
"Does not apply","Engineering","41-45","Italy","Male",74,15131,2,3,2,2,2,1,5226,1
"3.5-4.00","Science","36-40","Greece","Male",125,27386,7.6,7,8,8,7,8,5204,6
"Does not apply","Engineering","31-35","United States","Male",364,9491,4,4,5,5,4,2,5215,4
"NULL","NULL","NULL","United States","NULL",391,34624,4,4,2,2,3,9,5170,2
"3-3.49","Science","26-30","United States","Male",71,16519,4.8,8,5,6,3,2,5250,3
"Does not apply","Business","41-45","Malaysia","Male",502,4812,3.4,5,4,2,2,4,5817,1
"Does not apply","Engineering","41-45","India","Female",109,19302,1,1,1,1,1,1,5906,9
"Does not apply","Engineering","31-35","Romania","Male",89,8144,5,5,7,6,4,3,5693,7
"Does not apply","Engineering","31-35","Spain","Male",96,8444,4.4,4,2,4,3,9,5106,2
"Does not apply","Engineering","26-30","Spain","Male",54,3585,6.2,5,5,6,8,7,5470,17
"Does not apply","Other","26-30","United States","Male",213,9811,8,8,8,8,8,8,5836,4
"3.5-4.00","Science","36-40","Greece","Male",125,27386,8,9,8,8,9,6,5627,5
"Do not want to disclose","Engineering","41-45","United States","Male",37,19506,5.6,8,7,6,5,2,5906,9
"Does not apply","Engineering","31-35","United States","Male",364,9491,7.2,9,9,8,8,2,5693,7
"3.5-4.00","Science","36-40","Greece","Male",125,27386,5.8,3,8,8,7,3,5213,8
"Does not apply","Engineering","31-35","United States","Male",364,9491,3.2,5,4,3,3,1,5993,2
"Do not want to disclose","Engineering","41-45","United States","Male",37,19506,4.4,6,2,2,5,7,5170,2
"Does not apply","Engineering","36-40","Spain","Female",26,15171,7.8,9,6,6,10,8,5470,17
"Does not apply","Engineering","36-40","Spain","Female",26,15171,7.6,10,6,7,6,9,5906,9
"Do not want to disclose","Engineering","41-45","United States","Male",37,19506,7.2,9,3,7,8,9,5369,2
"Does not apply","Engineering","36-40","Spain","Female",26,15171,9.2,10,9,9,9,9,5250,3
"3-3.49","Business","21-25","Spain","Female",48,9079,5.2,2,8,10,2,4,5250,3
"Does not apply","Engineering","36-40","Spain","Female",26,15171,7.2,9,8,8,8,3,5627,5
"Does not apply","Engineering","36-40","Spain","Female",26,15171,6.2,6,6,6,7,6,5764,1
"Do not want to disclose","Engineering","41-45","United States","Male",37,19506,4.6,6,5,6,5,1,5562,2
"3-3.49","Business","21-25","Spain","Female",48,9079,7.6,10,6,5,9,8,5906,9
"Do not want to disclose","Engineering","41-45","United States","Male",37,19506,5.6,7,1,7,6,7,5235,4
"3.5-4.00","Other","26-30","Belarus","Female",58,8684,4.4,5,6,5,4,2,5215,4
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,2.4,2,3,4,1,2,5215,4
"3-3.49","Business","21-25","Spain","Female",48,9079,4.4,5,3,7,2,5,5215,4
"Does not apply","Engineering","21-25","Norway","Male",23,16741,6.6,8,5,7,8,5,5836,4
"Do not want to disclose","Engineering","41-45","United States","Male",37,19506,1.4,1,1,3,1,1,5374,9
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,5.8,6,8,5,4,6,5470,17
"Do not want to disclose","Engineering","41-45","United States","Male",37,19506,7.8,8,8,8,8,7,5150,4
"NULL","NULL","NULL","United States","NULL",391,34624,7.4,8,8,7,9,5,5150,4
"Does not apply","Business","21-25","Germany","Male",83,14340,4.4,6,2,3,8,3,5693,7
"3.5-4.00","Science","36-40","Greece","Male",125,27386,8.4,9,9,8,8,8,5369,2
"Does not apply","Engineering","41-45","Italy","Male",74,15131,5.4,2,4,6,6,9,5369,2
"Does not apply","Business","36-40","Germany","Male",354,21907,5.6,3,8,6,6,5,5250,3
"3.5-4.00","Other","26-30","Belarus","Female",58,8684,4.2,5,4,6,4,2,5069,4
"Does not apply","Engineering","31-35","United States","Male",364,9491,3.6,6,4,4,2,2,5288,2
"Does not apply","Engineering","36-40","Spain","Female",26,15171,6.4,8,5,7,5,7,5663,7
"3.5-4.00","Science","26-30","Russian Federation","Male",145,1820,5.2,6,6,4,6,4,5250,3
"3.5-4.00","Engineering","31-35","United States","Female",85,4274,2,2,2,2,2,2,5470,17
"3.5-4.00","Other","over 50","Canada","Male",164,7841,1,1,1,1,1,1,5470,17
"3.5-4.00","Science","21-25","United States","Female",22,23155,6.2,7,6,5,4,9,5906,9
"Does not apply","Engineering","36-40","Australia","Male",116,32678,5.8,6,6,5,7,5,5470,17
"NULL","NULL","NULL","United States","NULL",391,34624,4.2,5,8,3,4,1,5562,2
"Does not apply","Engineering","36-40","Australia","Male",116,32678,6.4,8,8,7,6,3,5906,9
"Does not apply","Science","31-35","Sweden","Male",27,7371,5.2,10,5,4,6,1,5906,9
"3.5-4.00","Business","36-40","Italy","Male",588,3417,6.6,8,7,4,6,8,5875,3
"3.5-4.00","Other","over 50","Canada","Male",164,7841,5.4,7,5,5,5,5,5906,9
"Does not apply","Science","31-35","United States","Male",52,11471,7.8,8,8,6,7,10,5250,3
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,2.4,2,2,3,3,2,5980,0
"Does not apply","Science","31-35","United States","Male",52,11471,2.6,4,2,3,3,1,5215,4
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,4,2,2,6,3,7,5170,2
"Does not apply","Science","31-35","United States","Male",52,11471,3,3,4,2,3,3,5069,4
"Does not apply","Science","31-35","United States","Male",52,11471,5.8,6,4,4,7,8,5539,2
"Does not apply","Other","31-35","France","Male",81,501,3.4,3,3,3,3,5,5106,2
"Does not apply","Other","31-35","France","Male",81,501,3,4,5,4,1,1,5635,2
"Does not apply","Science","31-35","United States","Male",52,11471,4.8,2,3,5,7,7,5118,4
"Does not apply","Other","31-35","France","Male",81,501,3.2,4,3,3,3,3,5283,3
"Does not apply","Other","31-35","France","Male",81,501,4.4,6,4,7,3,2,5190,6
"Does not apply","Science","31-35","United States","Male",52,11471,7,8,8,5,6,8,7024,3
"Does not apply","Science","31-35","United States","Male",52,11471,7.2,8,4,7,9,8,6633,2
"Does not apply","Science","31-35","United States","Male",52,11471,5.8,5,4,5,8,7,5369,2
"Does not apply","Business","31-35","Russian Federation","Female",141,30184,7,7,7,7,7,7,5250,3
"Does not apply","Business","31-35","Slovakia","Male",141,11269,1,1,1,1,1,1,5635,2
"Does not apply","Other","31-35","France","Male",81,501,2.8,2,2,5,2,3,5980,0
"Does not apply","Other","31-35","France","Male",81,501,4.2,8,5,2,3,3,5151,2
"Does not apply","Business","31-35","Slovakia","Male",141,11269,4.2,5,4,7,3,2,5479,17
"3.5-4.00","Engineering","26-30","India","Male",27,14389,4.4,7,3,4,4,4,5836,4
"Does not apply","Humanities","31-35","United States","Female",118,8491,4,5,4,3,3,5,5106,2
"2.5-3","Business","41-45","United Kingdom","Female",463,11835,5.4,6,7,7,3,4,6083,2
"Does not apply","Engineering","36-40","Australia","Male",116,32678,5.2,4,5,8,6,3,5215,4
"2.5-3","Science","21-25","Trinidad and Tobago","Male",66,15143,6.2,7,10,1,7,6,5250,3
"3.5-4.00","Other","over 50","Canada","Male",164,7841,4.8,7,4,4,5,4,5069,4
"Does not apply","Business","36-40","Spain","Male",120,22862,4.2,6,6,5,2,2,5635,2
"Does not apply","Business","36-40","Spain","Male",120,22862,3.2,6,4,2,2,2,5144,2
"Does not apply","Science","26-30","Netherlands","Male",124,2230,5,5,4,6,5,5,5635,2
"3.5-4.00","Engineering","31-35","United States","Male",25,17940,5,6,5,6,6,2,5470,17
"3.5-4.00","Engineering","31-35","United States","Male",25,17940,5.4,6,6,7,5,3,5215,4
"3.5-4.00","Engineering","31-35","United States","Male",25,17940,7.4,8,9,8,6,6,5250,3
"Does not apply","Business","31-35","Greece","Male",64,11645,5.4,9,4,7,5,2,5836,4
"Does not apply","Business","31-35","Greece","Male",64,11645,3.6,5,3,5,3,2,5693,7
"Does not apply","Business","31-35","Greece","Male",64,11645,4.8,6,6,5,6,1,5069,4
"Does not apply","Engineering","41-45","India","Female",109,19302,4.4,4,4,5,4,5,5215,4
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2.4,3,4,2,1,2,5635,2
"Does not apply","Business","31-35","Greece","Male",64,11645,5.4,8,4,4,6,5,5151,2
"Does not apply","Engineering","31-35","Romania","Male",89,8144,4.2,5,6,3,5,2,7024,3
"Does not apply","Business","31-35","Greece","Male",64,11645,3.4,3,2,7,3,2,5363,1
"Does not apply","Engineering","31-35","Romania","Male",89,8144,3.4,5,3,5,3,1,5635,2
"Does not apply","Engineering","31-35","Romania","Male",89,8144,3.6,6,4,5,2,1,5288,2
"Does not apply","Engineering","31-35","Romania","Male",89,8144,4.8,4,4,4,4,8,5536,4
"Does not apply","Business","36-40","Spain","Male",120,22862,3.8,6,6,4,2,1,5226,1
"Does not apply","Science","26-30","United Kingdom","Male",42,4574,6.6,7,9,9,5,3,5250,3
"3.5-4.00","Business","36-40","Italy","Male",588,3417,6.4,8,7,5,5,7,5213,8
"Do not want to disclose","Humanities","46-50","Italy","Female",213,16306,9.8,10,10,9,10,10,5250,3
"NULL","NULL","NULL","United States","NULL",391,34624,4.2,4,1,4,8,4,5363,1
"Does not apply","Science","26-30","United Kingdom","Male",42,4574,6.8,8,6,7,5,8,5470,17
"Does not apply","Business","36-40","Spain","Male",120,22862,2.2,4,3,2,1,1,7024,3
"Do not want to disclose","Engineering","46-50","India","Female",101,24314,4.8,5,7,5,4,3,5470,17
"Does not apply","Engineering","31-35","Romania","Male",89,8144,1,1,1,1,1,1,5836,4
"3.5-4.00","Business","26-30","Iran, Islamic Republic of","Male",96,17796,4,7,3,5,3,2,5836,4
"Does not apply","Engineering","31-35","Romania","Male",89,8144,6.2,7,8,5,5,6,5627,5
"Do not want to disclose","Humanities","46-50","Italy","Female",213,16306,9.2,10,9,9,9,9,5875,3
"Does not apply","Other","31-35","France","Male",81,501,3,3,3,3,3,3,5363,1
"2.5-3","Business","36-40","India","Male",325,17528,3.8,4,4,5,5,1,5693,7
"Do not want to disclose","Business","31-35","United Kingdom","Male",49,26036,4.8,6,5,5,3,5,5836,4
"Does not apply","Engineering","41-45","India","Female",109,19302,5,4,5,6,5,5,5250,3
"3.5-4.00","Engineering","26-30","India","Male",27,14389,5.8,8,3,7,8,3,5693,7
"3.5-4.00","Engineering","26-30","India","Male",27,14389,5.6,7,8,5,5,3,5250,3
"3.5-4.00","Engineering","26-30","India","Male",27,14389,3,3,4,3,3,2,5360,3
"Does not apply","Business","36-40","Spain","Male",120,22862,3,3,5,4,2,1,5360,3
"Does not apply","Business","21-25","Spain","Male",42,4905,9,10,9,7,10,9,5906,9
"Does not apply","Business","36-40","Spain","Male",120,22862,2.6,3,5,2,2,1,5993,2
"Does not apply","Business","36-40","Spain","Male",120,22862,1,1,1,1,1,1,5578,3
"Does not apply","Business","36-40","Spain","Male",120,22862,6.6,8,6,6,5,8,5875,3
"Does not apply","Business","21-25","Spain","Male",42,4905,2.4,2,3,3,2,2,5215,4
"Does not apply","Business","36-40","Spain","Male",120,22862,2.2,2,3,3,2,1,5539,2
"Does not apply","Business","21-25","Spain","Male",42,4905,6.2,7,7,8,6,3,5250,3
"Does not apply","Business","36-40","Spain","Male",120,22862,3,3,3,3,2,4,5106,2
"Does not apply","Business","36-40","Spain","Male",120,22862,4.2,5,5,5,4,2,5114,5
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,2.4,2,2,4,2,2,5578,3
"Does not apply","Engineering","21-25","Mexico","Male",15,1452,7.2,10,8,7,6,5,5693,7
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,5.6,5,7,8,5,3,5663,7
"Does not apply","Engineering","21-25","Mexico","Male",15,1452,6.6,8,8,8,5,4,5470,17
"3.5-4.00","Engineering","18-20","Brazil","Male",72,8716,3.8,3,6,6,3,1,5693,7
"Does not apply","Business","31-35","Russian Federation","Female",141,30184,7.2,8,8,8,8,4,5693,7
"Does not apply","Engineering","31-35","Spain","Male",94,2765,3.4,7,1,3,3,3,5663,7
"Does not apply","Business","36-40","Spain","Male",120,22862,2.6,3,2,2,2,4,5424,1
"Does not apply","Business","36-40","Spain","Male",120,22862,1.6,3,1,1,1,2,5663,7
"Does not apply","Business","36-40","Spain","Male",120,22862,5.2,5,6,5,5,5,5204,6
"Does not apply","Business","36-40","Spain","Male",120,22862,6,7,6,7,5,5,6109,1
"Does not apply","Business","36-40","Spain","Male",120,22862,3,4,3,1,1,6,5170,2
"Does not apply","Business","36-40","Spain","Male",120,22862,4.8,6,5,6,2,5,5235,4
"Does not apply","Business","41-45","Malaysia","Male",502,4812,1.4,1,2,2,1,1,5578,3
"NULL","NULL","NULL","United States","NULL",391,34624,7.8,9,9,7,7,7,5752,6
"NULL","NULL","NULL","United States","NULL",38,33263,4.2,5,4,4,4,4,5470,17
"3-3.49","Engineering","21-25","New Zealand","Male",475,4115,5,6,9,5,3,2,5215,4
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2.6,3,5,2,1,2,7024,3
"Does not apply","Business","21-25","Germany","Male",83,14340,4.4,7,5,8,1,1,5470,17
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,4.6,7,2,7,5,2,5288,2
"NULL","NULL","NULL","United States","NULL",38,33263,3.8,4,6,4,3,2,5069,4
"NULL","NULL","NULL","United States","NULL",38,33263,3.2,2,5,4,3,2,5836,4
"NULL","NULL","NULL","United States","NULL",38,33263,1,1,1,1,1,1,5277,7
"NULL","NULL","NULL","United States","NULL",38,33263,5,6,6,5,5,3,5095,3
"NULL","NULL","NULL","United States","NULL",38,33263,7.2,7,7,8,7,7,5103,2
"3-3.49","Engineering","21-25","New Zealand","Male",475,4115,7.4,7,9,7,6,8,5250,3
"3.5-4.00","Business","over 50","Pakistan","Male",154,22224,3.4,4,3,4,5,1,5215,4
"3-3.49","Engineering","21-25","New Zealand","Male",475,4115,2.8,5,3,2,3,1,5069,4
"Does not apply","Humanities","18-20","New Zealand","Male",94,9061,3.2,4,6,3,2,1,5069,4
"Does not apply","Humanities","18-20","New Zealand","Male",94,9061,6,7,7,6,6,4,5693,7
"3.5-4.00","Science","36-40","Greece","Male",125,27386,6,7,7,7,7,2,5103,2
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,6.6,9,9,8,5,2,5103,2
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,3.8,1,8,5,4,1,5511,1
"Does not apply","Business","36-40","Spain","Male",120,22862,3.8,5,5,2,3,4,5842,3
"Does not apply","Business","36-40","Spain","Male",120,22862,4,5,4,3,5,3,5150,4
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2.8,3,4,2,3,2,5103,2
"3.5-4.00","Engineering","26-30","India","Male",27,14389,1,1,1,1,1,1,6850,4
"3.5-4.00","Engineering","26-30","India","Male",27,14389,3,6,3,3,2,1,5536,4
"3.5-4.00","Engineering","26-30","India","Male",27,14389,1,1,1,1,1,1,5685,6
"Does not apply","Business","41-45","Malaysia","Male",502,4812,3.8,4,6,3,2,4,6083,2
"Does not apply","Business","31-35","Slovakia","Male",141,11269,8.2,7,7,9,9,9,5473,5
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2.6,3,4,2,2,2,6134,2
"Do not want to disclose","Engineering","46-50","India","Female",101,24314,5.6,7,7,5,5,4,5906,9
"Does not apply","Business","41-45","Malaysia","Male",502,4812,1.8,2,2,2,1,2,5151,2
"Do not want to disclose","Engineering","46-50","India","Female",101,24314,4.4,5,6,4,5,2,5223,1
"NULL","NULL","NULL","Canada","NULL",34,36194,3,3,5,2,3,2,5069,4
"3.5-4.00","Engineering","26-30","India","Male",27,14389,6.4,7,7,5,5,8,6382,2
"Does not apply","Business","36-40","Spain","Male",120,22862,3,2,4,4,3,2,6271,4
"Does not apply","Engineering","41-45","Italy","Male",74,15131,8.8,10,10,7,7,10,5752,6
"Does not apply","Business","41-45","Malaysia","Male",502,4812,3,3,2,4,2,4,5758,5
"3.5-4.00","Other","31-35","United States","Male",127,19363,6.4,8,9,6,6,3,5250,3
"Does not apply","Engineering","31-35","Lithuania","Male",24,10476,5,6,6,6,6,1,5307,6
"Does not apply","Science","Do not want to disclose","India","Do not want to disclose",70,27165,3.4,5,5,3,2,2,5069,4
"NULL","NULL","NULL","Canada","NULL",34,36194,5.4,8,3,5,6,5,5906,9
"3.5-4.00","Business","36-40","Italy","Male",588,3417,6.8,8,7,7,5,7,5758,5
"3.5-4.00","Engineering","26-30","India","Male",27,14389,7.2,8,8,7,6,7,5758,5
"3.5-4.00","Engineering","36-40","United States","Male",56,14656,2.2,4,2,2,2,1,5069,4
"3.5-4.00","Engineering","36-40","United States","Male",56,14656,4.6,4,4,6,7,2,5836,4
"Does not apply","Science","41-45","Denmark","Male",204,12328,7.8,8,8,5,10,8,5906,9
"3.5-4.00","Engineering","36-40","United States","Male",56,14656,4.2,4,5,5,5,2,5215,4
"Does not apply","Science","41-45","Denmark","Male",204,12328,4,8,4,3,3,2,5250,3
"3-3.49","Engineering","21-25","Trinidad and Tobago","Male",77,11494,7.4,6,8,8,7,8,5693,7
"Does not apply","Science","41-45","Denmark","Male",204,12328,3.6,6,3,3,3,3,5787,3
"3.5-4.00","Business","26-30","Iran, Islamic Republic of","Male",96,17796,3.8,6,3,5,3,2,5069,4
"3.5-4.00","Business","26-30","Iran, Islamic Republic of","Male",96,17796,6.6,8,8,8,5,4,5693,7
"Does not apply","Business","26-30","Colombia","Female",62,13777,1,1,1,1,1,1,5693,7
"NULL","NULL","NULL","United States","NULL",391,34624,5.2,5,4,5,4,8,5283,3
"Do not want to disclose","Engineering","over 50","Canada","Male",159,22632,4,3,7,5,4,1,5215,4
"3.5-4.00","Engineering","21-25","Pakistan","Male",22,7844,1.2,2,1,1,1,1,5836,4
"Do not want to disclose","Engineering","over 50","Canada","Male",159,22632,5,7,5,5,5,3,5470,17
"3-3.49","Engineering","21-25","Trinidad and Tobago","Male",77,11494,4.2,5,5,5,3,3,5223,1
"3-3.49","Engineering","21-25","Trinidad and Tobago","Male",77,11494,6,7,6,7,5,5,5787,3
"3.5-4.00","Engineering","41-45","United States","Male",104,17120,4.8,7,5,6,4,2,5250,3
"NULL","NULL","NULL","United States","NULL",38,33263,3.6,3,3,3,3,6,5223,1
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2.2,2,2,2,3,2,5601,1
"NULL","NULL","NULL","United States","NULL",38,33263,5.8,5,6,6,5,7,5213,8
"Does not apply","Engineering","41-45","Italy","Male",74,15131,3.8,2,5,4,1,7,5223,1
"Does not apply","Business","26-30","Colombia","Female",62,13777,9,8,9,10,10,8,5470,17
"Does not apply","Science","41-45","Denmark","Male",204,12328,3.8,3,6,3,5,2,5601,1
"Do not want to disclose","Engineering","over 50","Canada","Male",159,22632,5.8,8,7,7,5,2,5069,4
"Does not apply","Business","36-40","Germany","Male",354,21907,4.4,4,4,4,5,5,5906,9
"Do not want to disclose","Engineering","46-50","India","Female",101,24314,1,1,1,1,1,1,6485,7
"3.5-4.00","Science","21-25","Germany","Male",98,16101,3.6,4,5,4,4,1,5069,4
"3.5-4.00","Other","26-30","Belarus","Female",58,8684,4,5,6,5,3,1,5601,1
"3-3.49","Engineering","21-25","Trinidad and Tobago","Male",77,11494,5.2,5,4,6,6,5,5283,3
"Does not apply","Engineering","31-35","United Kingdom","Male",41,17060,2.2,3,3,2,2,1,5069,4
"3.5-4.00","Engineering","26-30","India","Male",27,14389,1,1,1,1,1,1,6792,6
"3.5-4.00","Engineering","26-30","India","Male",27,14389,3.2,5,6,3,1,1,5562,2
"3.5-4.00","Engineering","26-30","India","Male",27,14389,3.8,6,8,1,3,1,5429,2
"3.5-4.00","Business","36-40","Italy","Male",588,3417,5,6,6,5,4,4,5015,0
"Does not apply","Other","over 50","India","Male",143,17491,7.2,5,7,7,8,9,5106,2
"Does not apply","Other","over 50","India","Male",143,17491,4.2,6,4,4,5,2,5475,5
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2.6,1,2,2,3,5,5369,2
"3.5-4.00","Engineering","over 50","Bolivia","Male",131,27480,3.8,4,4,5,3,3,5250,3
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2.4,2,3,2,2,3,5026,2
"NULL","NULL","NULL","Canada","NULL",34,36194,4.4,4,3,6,6,3,5693,7
"NULL","NULL","NULL","Canada","NULL",34,36194,1.2,1,1,1,2,1,5939,4
"3.5-4.00","Engineering","26-30","India","Male",27,14389,5.6,9,8,4,3,4,5817,1
"Does not apply","Engineering","41-45","Italy","Male",74,15131,3.6,2,5,4,2,5,5899,6
"Does not apply","Business","26-30","Colombia","Female",62,13777,8.8,10,6,8,10,10,5906,9
"Does not apply","Business","26-30","Colombia","Female",62,13777,7,5,7,8,5,10,5921,3
"Does not apply","Business","26-30","Colombia","Female",62,13777,3.8,1,4,5,4,5,5516,2
"Does not apply","Engineering","41-45","Italy","Male",74,15131,8,8,7,8,8,9,5307,6
"Does not apply","Engineering","41-45","Italy","Male",74,15131,7.4,9,9,9,8,2,5004,5
"3-3.49","Other","21-25","Spain","Female",75,2826,4,6,3,5,1,5,5787,3
"Does not apply","Engineering","31-35","Romania","Male",89,8144,5.4,7,5,3,6,6,5150,4
"Does not apply","Humanities","31-35","United States","Female",118,8491,3.4,7,4,3,2,1,5539,2
"Does not apply","Engineering","31-35","Romania","Male",89,8144,4.8,1,6,6,6,5,6083,2
"3.5-4.00","Other","31-35","United States","Male",127,19363,7.2,7,5,7,9,8,5470,17
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,7,7,7,5,6,10,5504,7
"3.5-4.00","Other","31-35","United States","Male",127,19363,6.4,7,5,8,9,3,5836,4
"3.5-4.00","Other","31-35","United States","Male",127,19363,3.4,5,4,4,2,2,5353,3
"2.5-3","Business","over 50","United States","Male",61,5849,1,1,1,1,1,1,5250,3
"Does not apply","Business","41-45","Malaysia","Male",502,4812,2.6,2,4,2,3,2,5752,6
"Do not want to disclose","Humanities","46-50","Italy","Female",213,16306,5.2,7,7,5,5,2,5764,1
"Does not apply","Other","over 50","India","Male",143,17491,5.6,9,5,4,6,4,5758,5
"3.5-4.00","Business","26-30","Iran, Islamic Republic of","Male",96,17796,6.4,9,3,10,6,4,5813,4
"Do not want to disclose","Engineering","36-40","United Kingdom","Male",380,26989,3.4,6,4,2,3,2,5470,17
"3.5-4.00","Engineering","26-30","India","Male",74,13947,7.8,8,8,7,9,7,5250,3
"2.5-3","Business","over 50","United States","Male",61,5849,3.6,3,5,3,5,2,5069,4
"2.5-3","Business","over 50","United States","Male",61,5849,1,1,1,1,1,1,6831,7
"3.5-4.00","Other","31-35","United States","Male",127,19363,4.6,7,5,5,3,3,5624,3
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,4,5,3,6,5,1,5836,4
"3.5-4.00","Other","31-35","United States","Male",127,19363,4.2,3,5,5,4,4,5103,2
"3.5-4.00","Other","31-35","United States","Male",127,19363,3.4,3,3,5,3,3,5631,4
"2.5-3","Business","over 50","United States","Male",61,5849,5.4,7,8,3,5,4,5365,2
"3-3.49","Engineering","over 50","Argentina","Male",63,13197,4.4,7,1,4,6,4,5470,17
"2.5-3","Business","over 50","United States","Male",61,5849,4.8,5,6,5,6,2,5556,1
"3.5-4.00","Other","31-35","United States","Male",127,19363,3.6,5,3,3,4,3,5223,1
"NULL","NULL","NULL","Romania","NULL",56,36409,4,5,5,2,3,5,5836,4
"3.5-4.00","Other","31-35","United States","Male",127,19363,3,2,4,4,3,2,5958,2
"3-3.49","Engineering","over 50","Argentina","Male",63,13197,5.4,7,6,6,4,4,5693,7
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,1.4,1,1,2,2,1,6387,0
"Does not apply","Science","41-45","Denmark","Male",204,12328,5.6,8,8,5,5,2,5635,2
"3.5-4.00","Other","31-35","United States","Male",127,19363,3.6,5,3,5,3,2,7054,0
"NULL","NULL","NULL","Romania","NULL",56,36409,4.8,6,3,4,5,6,5250,3
"3-3.49","Engineering","over 50","Argentina","Male",63,13197,6.8,8,8,7,6,5,5215,4
"Does not apply","Science","41-45","Denmark","Male",204,12328,8.6,8,9,9,9,8,5663,7
"3-3.49","Engineering","over 50","Argentina","Male",63,13197,4.4,6,4,5,5,2,7074,1
"Does not apply","Engineering","41-45","Italy","Male",74,15131,7.6,8,6,7,8,9,6633,2
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,3.4,8,2,5,1,1,5470,17
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,3.2,6,1,6,1,2,5693,7
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,6,6,6,6,6,6,5921,3
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,3,5,3,3,1,3,5223,1
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,3.6,7,2,6,2,1,5464,5
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,3.6,3,1,6,3,5,5980,0
"Does not apply","Business","21-25","Brazil","Male",43,29913,4.4,3,9,5,3,2,5250,3
"Does not apply","Business","26-30","Czech Republic","Male",137,14203,5.2,7,6,6,2,5,5420,3
"Does not apply","Business","41-45","United Kingdom","Male",438,17928,7.2,10,8,4,4,10,5921,3
"Does not apply","Engineering","41-45","Italy","Male",74,15131,8.4,8,9,10,9,6,5921,3
"Do not want to disclose","Science","31-35","Germany","Male",80,20142,5,5,5,5,5,5,5069,4
"3.5-4.00","Science","41-45","Colombia","Female",37,14451,5.2,5,5,5,5,6,5069,4
"Does not apply","Business","21-25","Brazil","Male",43,29913,6.4,7,9,7,6,3,5215,4
